기간	자치구	총이동	총이동	총이동	총이동	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	순이동	순이동	순이동
기간	자치구	총전입(①+②+④)	총전입(①+②+④)	총전입(①+②+④)	총전출(①+③+⑤)	총전출(①+③+⑤)	총전출(①+③+⑤)	구내이동(①)	구내이동(①)	구내이동(①)	구간이동	구간이동	구간이동	구간이동	구간이동	구간이동	전입(④)	전입(④)	전입(④)	전출(⑤)	전출(⑤)	전출(⑤)	순이동	순이동	순이동
기간	자치구	총전입(①+②+④)	총전입(①+②+④)	총전입(①+②+④)	총전출(①+③+⑤)	총전출(①+③+⑤)	총전출(①+③+⑤)	구내이동(①)	구내이동(①)	구내이동(①)	전입(②)	전입(②)	전입(②)	전출(③)	전출(③)	전출(③)	전입(④)	전입(④)	전입(④)	전출(⑤)	전출(⑤)	전출(⑤)	순이동	순이동	순이동
기간	자치구	소계	남자	여자	소계	남자	여자	소계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2021	서울특별시	1,418,187	693,363	724,824	1,524,430	752,085	772,345	387,416	187,651	199,765	569,648	277,594	292,054	569,648	277,594	292,054	461,123	228,118	233,005	567,366	286,840	280,526	-106,243	-58,722	-47,521
2021	종로구	22,204	10,792	11,412	24,428	12,121	12,307	3,223	1,557	1,666	11,004	5,357	5,647	13,008	6,380	6,628	7,977	3,878	4,099	8,197	4,184	4,013	-2,224	-1,329	-895
2021	중구	19,917	9,753	10,164	21,126	10,591	10,535	3,015	1,547	1,468	10,378	5,078	5,300	11,274	5,566	5,708	6,524	3,128	3,396	6,837	3,478	3,359	-1,209	-838	-371
2021	용산구	36,011	17,381	18,630	39,572	19,435	20,137	7,113	3,436	3,677	16,799	8,094	8,705	18,922	9,287	9,635	12,099	5,851	6,248	13,537	6,712	6,825	-3,561	-2,054	-1,507
2021	성동구	39,831	19,585	20,246	46,075	22,988	23,087	7,867	3,819	4,048	19,106	9,332	9,774	22,939	11,298	11,641	12,858	6,434	6,424	15,269	7,871	7,398	-6,244	-3,403	-2,841
2021	광진구	51,522	24,847	26,675	56,750	27,405	29,345	13,736	6,548	7,188	20,048	9,642	10,406	22,708	10,751	11,957	17,738	8,657	9,081	20,306	10,106	10,200	-5,228	-2,558	-2,670
2021	동대문구	48,955	24,492	24,463	51,031	25,922	25,109	10,881	5,469	5,412	20,389	10,213	10,176	21,435	10,824	10,611	17,685	8,810	8,875	18,715	9,629	9,086	-2,076	-1,430	-646
2021	중랑구	52,867	26,090	26,777	57,957	28,986	28,971	19,004	9,406	9,598	20,585	10,083	10,502	17,493	8,655	8,838	13,278	6,601	6,677	21,460	10,925	10,535	-5,090	-2,896	-2,194
2021	성북구	59,054	28,630	30,424	62,394	30,409	31,985	15,232	7,259	7,973	26,196	12,969	13,227	26,356	12,749	13,607	17,626	8,402	9,224	20,806	10,401	10,405	-3,340	-1,779	-1,561
2021	강북구	37,057	18,326	18,731	42,961	21,288	21,673	12,081	5,991	6,090	15,985	7,839	8,146	17,098	8,374	8,724	8,991	4,496	4,495	13,782	6,923	6,859	-5,904	-2,962	-2,942
